"Alzheimer"	"Parkinson"	"Autism"	"Schizophrenia"
"FECH"	"MAPT"	"GABRB1"	"ATP2A2"
"FERMT2"	"MECP2"	"GABRB3"	"CAT"
"FGF13"	"MPO"	"GABRG1"	"CDH23"
"FGFR3"	"MPV17"	"GABRQ"	"CEP78"
"FH"	"MT-TT"	"GAD1"	"CHI3L1"
"FHIT"	"MYORG"	"GAD2"	"CHRNA7"
"FHL1"	"NAA60"	"GCAT"	"CIB2"
"FIBP"	"NOS3"	"GCH1"	"CLRN1"
"FKBP1B"	"NOTCH3"	"GK"	"CNTNAP2"
"FKBP3"	"NR4A2"	"GKAP1"	"COMT"
"FLRT2"	"PANK2"	"GLS"	"DAOA"
"FN1"	"PARK7"	"GLS2"	"DNAJC13"
"FOXG1"	"PCBD1"	"GLUL"	"DNMT3A"
"FRG1CP"	"PCDH19"	"GNAQ"	"DRD3"
"FSD1"	"PDE10A"	"GNMT"	"DSG4"
"FUCA1"	"PDGFB"	"GOT2"	"EIF4G1"
"FXYD6"	"PDGFRB"	"GPHN"	"ESPN"
"FXYD7"	"PINK1"	"GRIA1"	"FLI1"
"G3BP2"	"PLA2G6"	"GRIA2"	"FTSJ1"
"GAA"	"PLAU"	"GRIA4"	"GBA1"
"GABBR1"	"POLG"	"GRIN1"	"GIGYF2"
"GABBR2"	"PPP2R2B"	"GRIN2A"	"GJA5"
"GABRA2"	"PRKAR1B"	"GRIN2B"	"GJA8"
"GABRB3"	"PRKN"	"GRIN2C"	"GP1BB"
"GAD1"	"PRKRA"	"GRIN3A"	"HARS1"
"GAD2"	"PRNP"	"GRIN3B"	"HIRA"
"GADD45GIP1"	"PSAP"	"GRIP1"	"HTR2A"
"GALC"	"PSEN1"	"GRIP2"	"JMJD1C"
"GAP43"	"PSEN2"	"GRM1"	"KRT81"
"GAPDH"	"PTPA"	"GRM2"	"KRT83"
"GASK1B"	"PTRHD1"	"GRM3"	"KRT86"
"GCH1"	"PTS"	"GRM4"	"LRRK2"
"GET1"	"RAB39B"	"GRM5"	"MED12"
"GET3"	"RREB1"	"GRM6"	"MSTO1"
"GGCX"	"SCARB2"	"GRM7"	"MT-TE"
"GHITM"	"SCN1A"	"GRM8"	"MT-TS2"
"GLO1"	"SCN1B"	"HCFC1"	"MTHFR"
"GLOD4"	"SCN2A"	"HDC"	"MYO7A"
"GLRB"	"SCN9A"	"HNMT"	"NIPA1"
"GLRX"	"SEC24C"	"HOMER1"	"NIPA2"
"GLS"	"SIGMAR1"	"HOMER2"	"NKX2-1"
"GLT8D1"	"SLC18A2"	"HOMER3"	"PCDH15"
"GLUD1"	"SLC20A2"	"HPRT1"	"PDZD7"
"GLUL"	"SLC30A10"	"HTR1D"	"PRODH"
"GMPR2"	"SLC39A14"	"HTR1E"	"PSAP"
"GNA14"	"SLC6A3"	"HTR1F"	"RBM12"
"GNAL"	"SNCA"	"HTR2A"	"RREB1"
"GNAO1"	"SNCAIP"	"HTR2B"	"RTN4R"
"GNAS"	"SNCB"	"HTR3B"	"SEC24C"
"GNB1"	"SORL1"	"HTR3C"	"SETD1A"
"GNG3"	"SPG11"	"HTR3D"	"SHANK3"
"GOLGA8A"	"SPTLC1"	"HTR3E"	"SLC12A2"
